Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD NACIONAL DE COLOMBIA,ARQUITECTURA,Presencial,369
UNIVERSIDAD NACIONAL DE COLOMBIA,ARQUITECTURA,Presencial,396
UNIVERSIDAD NACIONAL DE COLOMBIA,ARQUITECTURA,Presencial,256
UNIVERSIDAD NACIONAL DE COLOMBIA,ARQUITECTURA,Presencial,282
UNIVERSIDAD NACIONAL DE COLOMBIA,CONSTRUCCION,Presencial,213
UNIVERSIDAD NACIONAL DE COLOMBIA,CONSTRUCCION,Presencial,193
UNIVERSIDAD NACIONAL DE COLOMBIA,CONSTRUCCION,Presencial,136
UNIVERSIDAD NACIONAL DE COLOMBIA,CONSTRUCCION,Presencial,145
UNIVERSIDAD NACIONAL DE COLOMBIA,MATEMATICAS,Presencial,127
UNIVERSIDAD NACIONAL DE COLOMBIA,MATEMATICAS,Presencial,120
UNIVERSIDAD NACIONAL DE COLOMBIA,MATEMATICAS,Presencial,40
UNIVERSIDAD NACIONAL DE COLOMBIA,MATEMATICAS,Presencial,44
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN PLANEACION URBANO REGIONAL,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN PLANEACION URBANO REGIONAL,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN PLANEACION URBANO REGIONAL,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN PLANEACION URBANO REGIONAL,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN ESTADISTICA,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN ESTADISTICA,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN ESTADISTICA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACION EN ESTADISTICA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN HISTORIA,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN HISTORIA,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN HISTORIA,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN HISTORIA,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA DE SISTEMAS,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA DE SISTEMAS,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA DE SISTEMAS,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA DE SISTEMAS,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - RECURSOS HIDRAULICOS,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - RECURSOS HIDRAULICOS,Presencial,14
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - RECURSOS HIDRAULICOS,Presencial,10
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - RECURSOS HIDRAULICOS,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN ESTUDIOS URBANO - REGIONALES,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN ESTUDIOS URBANO - REGIONALES,Presencial,8
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN ESTUDIOS URBANO - REGIONALES,Presencial,17
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN ESTUDIOS URBANO - REGIONALES,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN CIENCIAS - ESTADISTICA,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN CIENCIAS - ESTADISTICA,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN CIENCIAS - ESTADISTICA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN CIENCIAS - ESTADISTICA,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN BOSQUES Y CONSERVACION AMBIENTAL,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN BOSQUES Y CONSERVACION AMBIENTAL,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN BOSQUES Y CONSERVACION AMBIENTAL,Presencial,17
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN BOSQUES Y CONSERVACION AMBIENTAL,Presencial,10
UNIVERSIDAD NACIONAL DE COLOMBIA,ARTES PLASTICAS,Presencial,59
UNIVERSIDAD NACIONAL DE COLOMBIA,ARTES PLASTICAS,Presencial,63
UNIVERSIDAD NACIONAL DE COLOMBIA,ARTES PLASTICAS,Presencial,120
UNIVERSIDAD NACIONAL DE COLOMBIA,ARTES PLASTICAS,Presencial,120
UNIVERSIDAD NACIONAL DE COLOMBIA,ESTADISTICA,Presencial,210
UNIVERSIDAD NACIONAL DE COLOMBIA,ESTADISTICA,Presencial,187
UNIVERSIDAD NACIONAL DE COLOMBIA,ESTADISTICA,Presencial,149
UNIVERSIDAD NACIONAL DE COLOMBIA,ESTADISTICA,Presencial,113
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA BIOLOGICA,Presencial,222
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA BIOLOGICA,Presencial,197
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA BIOLOGICA,Presencial,362
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA BIOLOGICA,Presencial,339
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE CONTROL,Presencial,274
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE CONTROL,Presencial,250
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE CONTROL,Presencial,78
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE CONTROL,Presencial,78
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FISICA,Presencial,311
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FISICA,Presencial,312
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FISICA,Presencial,103
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA FISICA,Presencial,96
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIA POLITICA,Presencial,184
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIA POLITICA,Presencial,183
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIA POLITICA,Presencial,184
UNIVERSIDAD NACIONAL DE COLOMBIA,CIENCIA POLITICA,Presencial,174
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE SISTEMAS E INFORMATICA,Presencial,707
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE SISTEMAS E INFORMATICA,Presencial,712
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE SISTEMAS E INFORMATICA,Presencial,112
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA DE SISTEMAS E INFORMATICA,Presencial,113
UNIVERSIDAD NACIONAL DE COLOMBIA,ZOOTECNIA,Presencial,135
UNIVERSIDAD NACIONAL DE COLOMBIA,ZOOTECNIA,Presencial,148
UNIVERSIDAD NACIONAL DE COLOMBIA,ZOOTECNIA,Presencial,203
